Gender,Age,Attitude,Deep,Stra,Surf,Points
2,53,37,3.58333333333333,3.375,2.58333333333333,25
1,55,31,2.91666666666667,2.75,3.16666666666667,12
2,49,25,3.5,3.625,2.25,24
1,53,35,3.5,3.125,2.25,10
1,49,37,3.66666666666667,3.625,2.83333333333333,22
2,38,38,4.75,3.625,2.41666666666667,21
1,50,35,3.83333333333333,2.25,1.91666666666667,21
2,37,29,3.25,4,2.83333333333333,31
1,37,38,4.33333333333333,4.25,2.16666666666667,24
2,42,21,4,3.5,3,26
1,37,39,3.58333333333333,3.625,2.66666666666667,31
2,34,38,3.83333333333333,4.75,2.41666666666667,31
2,34,24,4.25,3.625,2.25,23
2,34,30,3.33333333333333,3.5,2.75,25
1,35,26,4.16666666666667,1.75,2.33333333333333,21
2,33,41,3.66666666666667,3.875,2.33333333333333,31
2,32,26,4.08333333333333,1.375,2.91666666666667,20
2,44,26,3.5,3.25,2.5,22
1,29,17,4.08333333333333,3,3.75,9
2,30,27,4,3.75,2.75,24
1,27,39,3.91666666666667,2.625,2.33333333333333,28
1,29,34,4,2.375,2.41666666666667,30
2,31,27,4,3.625,3,24
2,37,23,3.66666666666667,2.75,2.41666666666667,9
2,26,37,3.66666666666667,1.75,2.83333333333333,26
2,26,44,4.41666666666667,3.25,3.16666666666667,32
1,30,41,3.91666666666667,4,3,32
2,33,37,3.75,3.625,2,33
2,33,25,3.25,2.875,3.5,29
1,28,30,3.58333333333333,3,3.75,30
1,26,34,4.91666666666667,1.625,2.5,19
2,27,32,3.58333333333333,3.25,2.08333333333333,23
2,25,20,2.91666666666667,3.5,2.41666666666667,19
2,31,24,3.66666666666667,3,2.58333333333333,12
1,20,42,4.5,3.25,1.58333333333333,10
2,39,16,4.08333333333333,1.875,2.83333333333333,11
1,38,31,3.83333333333333,4.375,1.83333333333333,20
1,24,38,3.25,3.625,2.41666666666667,26
1,26,38,2.33333333333333,2.5,3.25,31
1,25,33,3.33333333333333,1.25,3.41666666666667,20
2,30,17,4.08333333333333,4,3.41666666666667,23
2,25,25,2.91666666666667,3,3.16666666666667,12
1,30,32,3.33333333333333,2.5,3.5,24
2,48,35,3.83333333333333,4.875,2.66666666666667,17
2,24,32,3.66666666666667,5,2.41666666666667,29
2,40,42,4.66666666666667,4.375,3.58333333333333,23
1,25,31,3.75,3.25,2.08333333333333,28
2,23,39,3.41666666666667,4,3.75,31
2,25,19,4.16666666666667,3.125,2.91666666666667,23
2,23,21,2.91666666666667,2.5,2.91666666666667,25
1,27,25,4.16666666666667,3.125,2.41666666666667,18
1,25,32,3.58333333333333,3.25,3,19
1,23,32,2.83333333333333,2.125,3.41666666666667,22
2,23,26,4,2.75,2.91666666666667,25
2,23,23,2.91666666666667,2.375,3.25,21
2,45,38,3,3.125,3.25,9
2,22,28,4.08333333333333,4,2.33333333333333,28
2,23,33,2.91666666666667,4,3.25,25
1,21,48,3.5,2.25,2.5,29
1,21,40,4.33333333333333,3.25,1.75,33
2,21,40,4.25,3.625,2.25,33
2,21,47,3.41666666666667,3.625,2.08333333333333,25
2,26,23,3.08333333333333,2.5,2.83333333333333,18
2,25,31,4.58333333333333,1.875,2.83333333333333,22
2,26,27,3.41666666666667,2,2.41666666666667,17
1,21,41,3.41666666666667,1.875,2.25,25
2,23,34,3.41666666666667,4,2.83333333333333,28
2,22,25,3.58333333333333,2.875,2.25,22
2,22,21,1.58333333333333,3.875,1.83333333333333,26
2,22,14,3.33333333333333,2.5,2.91666666666667,11
2,23,19,4.33333333333333,2.75,2.91666666666667,29
1,22,37,4.41666666666667,4.5,2.08333333333333,22
1,23,32,4.83333333333333,3.375,2.33333333333333,21
1,24,28,3.08333333333333,2.625,2.41666666666667,28
2,22,41,3,4.125,2.75,33
2,23,25,4.08333333333333,2.625,3.25,16
1,22,28,4.08333333333333,2.25,1.75,31
